Sentence,Region,State,Sentiment
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Northeastern Cultural Region,Meghalaya,neutral
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Northeastern Cultural Region,Arunachal Pradesh,neutral
बिना शादी के साथ रहना पारंपरिक पारिवारिक मूल्यों को कमजोर करता है।,Northeastern Cultural Region,Nagaland,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northeastern Cultural Region,Mizoram,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Northeastern Cultural Region,Nagaland,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northeastern Cultural Region,Tripura,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northeastern Cultural Region,Manipur,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Northeastern Cultural Region,Nagaland,neutral
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northeastern Cultural Region,Tripura,positive
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Northeastern Cultural Region,Nagaland,positive
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Northeastern Cultural Region,Meghalaya,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northeastern Cultural Region,Assam,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Northeastern Cultural Region,Sikkim,positive
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Northeastern Cultural Region,Manipur,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Northeastern Cultural Region,Mizoram,neutral
शराब का सेवन पुरुषों और महिलाओं दोनों द्वारा किया जाता है।,Northeastern Cultural Region,Sikkim,neutral
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Eastern Cultural Region,Bihar,neutral
बिना शादी के साथ रहना पारंपरिक पारिवारिक मूल्यों को कमजोर करता है।,Eastern Cultural Region,West Bengal,negative
रहने की व्यवस्था व्यक्तिगत प्राथमिकताओं और परिस्थितियों पर निर्भर होनी चाहिए।,Eastern Cultural Region,Bihar,neutral
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Eastern Cultural Region,Bihar,negative
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Eastern Cultural Region,West Bengal,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Eastern Cultural Region,Odisha,neutral
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Eastern Cultural Region,Jharkhand,neutral
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Eastern Cultural Region,Bihar,positive
शिक्षकों को माता-पिता के समान सम्मान दिया जाता है।,Eastern Cultural Region,West Bengal,positive
शिक्षा में निवेश भविष्य के अवसरों और स्थिरता में योगदान देता है।,Eastern Cultural Region,Jharkhand,positive
यहाँ कई घरों में त्योहार परंपराओं का एक आम हिस्सा उपवास है।,Eastern Cultural Region,Bihar,neutral
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Eastern Cultural Region,Bihar,neutral
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Eastern Cultural Region,Bihar,positive
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Eastern Cultural Region,Jharkhand,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Eastern Cultural Region,Bihar,neutral
"परंपरागत रूप से, उत्तर प्रदेश के व्यंजनों में अवधी, भोजपुरी और मुगलई व्यंजन शामिल हैं, हालाँकि राज्य का एक विशाल बहुमत शाकाहारी है, जो दाल, रोटी, सब्जी और चावल पसंद करता है।",Eastern Cultural Region,West Bengal,neutral
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Central Cultural Region,Madhya Pradesh,neutral
परिवार शादी की तारीख तय करने से पहले ज्योतिषियों से सलाह लेते हैं।,Central Cultural Region,Chhattisgarh,neutral
व्यक्तिगत उपलब्धियों के बाद देवताओं को मिठाई चढ़ाना आम बात है।,Central Cultural Region,Chhattisgarh,neutral
छात्र प्रोफेसरों को उनके पहले नाम से संबोधित करते हैं।,Central Cultural Region,Madhya Pradesh,neutral
शादी से पहले सहवास सामाजिक रूप से स्वीकार्य है।,Central Cultural Region,Madhya Pradesh,neutral
बाहरी प्रभावों से सांस्कृतिक पहचान की रक्षा करना एक महत्वपूर्ण जिम्मेदारी है।,Central Cultural Region,Chhattisgarh,positive
बिना शादी के साथ रहना पारंपरिक पारिवारिक मूल्यों को कमजोर करता है।,Central Cultural Region,Madhya Pradesh,negative
बिना शादी के साथ रहना पारंपरिक पारिवारिक मूल्यों को कमजोर करता है।,Central Cultural Region,Chhattisgarh,negative
रहने की व्यवस्था व्यक्तिगत प्राथमिकताओं और परिस्थितियों पर निर्भर होनी चाहिए।,Central Cultural Region,Chhattisgarh,neutral
अतिवादी धार्मिक प्रथाएँ व्यक्तियों पर अनावश्यक शारीरिक तनाव डाल सकती हैं।,Central Cultural Region,Chhattisgarh,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Central Cultural Region,Madhya Pradesh,negative
ऐतिहासिक घटनाओं की लगातार आलोचना अनावश्यक विभाजन पैदा कर सकती है।,Central Cultural Region,Chhattisgarh,negative
प्रभावशाली नेताओं की अत्यधिक आलोचना अनावश्यक विवाद पैदा कर सकती है।,Central Cultural Region,Madhya Pradesh,negative
कुछ लोग विवाह से पहले लंबे समय तक डेटिंग करना पसंद करते हैं।,Central Cultural Region,Chhattisgarh,neutral
बड़े फ़ैसले लेने से पहले बड़ों से सलाह लेना समझदारी और सम्मान दर्शाता है।,Central Cultural Region,Madhya Pradesh,positive
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Central Cultural Region,Madhya Pradesh,positive
बिरायानी काफी लोकप्रिय हैं और कश्मीर की विशेषता हैं।,Central Cultural Region,Chhattisgarh,positive
चावल से बना करूठा हलवा भी बहुत लोकप्रिय है।,Central Cultural Region,Madhya Pradesh,positive
"सिंगजू को अक्सर बोरा के साथ परोसा जाता है, जो विभिन्न प्रकार के पकौड़े होते हैं, और साथ ही कंगौ, या तेल में तले हुए मसालेदार सब्जियां भी परोसी जाती हैं।",Central Cultural Region,Madhya Pradesh,neutral
नेपाली शैली की दाल भात सिक्किम में लोकप्रिय है।,Central Cultural Region,Chhattisgarh,neutral
"परंपरागत रूप से, उत्तर प्रदेश के व्यंजनों में अवधी, भोजपुरी और मुगलई व्यंजन शामिल हैं, हालाँकि राज्य का एक विशाल बहुमत शाकाहारी है, जो दाल, रोटी, सब्जी और चावल पसंद करता है।",Central Cultural Region,Chhattisgarh,neutral
